,Age,Gender,Technical Affinity,PreTrust,ExperienceManagement,Neuroticism,Extraversion,Openness,Agreeableness,Conscientiousness,ProactiveTask1,TimeDurationTask1,difficultyTask1,pointsTask1,OptSelectionTask1,HelpTask1,SuggTask1,TrustTask1,ProactiveTask2,TimeDurationTask2,difficultyTask2,pointsTask2,OptSelectionTask2,HelpTask2,SuggTask2,TrustTask2,ProactiveTask3,TimeDurationTask3,difficultyTask3,pointsTask3,OptSelectionTask3,HelpTask3,SuggTask3,TrustTask3,ProactiveTask4,TimeDurationTask4,difficultyTask4,pointsTask4,OptSelectionTask4,HelpTask4,SuggTask4,TrustTask4,ProactiveTask5,TimeDurationTask5,difficultyTask5,pointsTask5,OptSelectionTask5,HelpTask5,SuggTask5,TrustTask5,ProactiveTask6,TimeDurationTask6,difficultyTask6,pointsTask6,OptSelectionTask6,HelpTask6,SuggTask6,TrustTask6,ProactiveTask7,TimeDurationTask7,difficultyTask7,pointsTask7,OptSelectionTask7,HelpTask7,SuggTask7,TrustTask7,ProactiveTask8,TimeDurationTask8,difficultyTask8,pointsTask8,OptSelectionTask8,HelpTask8,SuggTask8,TrustTask8,ProactiveTask9,TimeDurationTask9,difficultyTask9,pointsTask9,OptSelectionTask9,HelpTask9,SuggTask9,TrustTask9,ProactiveTask10,TimeDurationTask10,difficultyTask10,pointsTask10,OptSelectionTask10,HelpTask10,SuggTask10,TrustTask10,ProactiveTask11,TimeDurationTask11,difficultyTask11,pointsTask11,OptSelectionTask11,HelpTask11,SuggTask11,TrustTask11,ProactiveTask12,TimeDurationTask12,difficultyTask12,pointsTask12,OptSelectionTask12,HelpTask12,SuggTask12,TrustTask12,#Acceptance,#Reliability,#Satisfaction,#Competence,#Predictability,#Annoyance
0,51.0,female,4.0,4.166666666666667,3.0,1.5,3.0,4.5,4.5,4.5,Intervention,189.0,2,10,1C,0,0,4,None,170.0,2,0,2D,0,0,4,None,202.0,2,10,3B,0,0,4,Notification,34.0,2,10,4A,0,0,4,None,68.0,2,10,5A,0,1,4,Suggestion,60.0,2,20,6D,0,0,4,None,110.0,2,20,7C,0,1,4,Suggestion,47.0,2,20,8B,0,0,4,None,31.0,2,30,9B,0,1,4,None,30.0,2,10,10B,0,1,4,None,26.0,2,10,11B,0,1,4,Intervention,49.0,2,10,12A,0,0,4,4.0,4.0,4.0,4.0,4.0,1.0
0,29.0,female,3.8333333333333335,3.5,2.3333333333333335,2.5,2.0,4.5,3.5,3.0,None,59.0,2,10,1A,0,1,4,None,55.0,2,0,2C,0,1,4,Notification,58.0,2,10,3D,0,0,4,None,43.0,4,10,4C,0,1,4,Notification,38.0,3,10,5C,0,0,4,None,86.0,4,30,6D,0,1,4,None,63.0,2,20,7A,0,1,5,None,70.0,2,20,8C,0,1,5,Intervention,52.0,3,40,9D,0,0,5,None,38.0,4,10,10A,0,1,4,Intervention,37.0,3,10,11A,0,0,4,None,40.0,3,20,12E,0,1,4,4.5,4.0,4.25,4.0,2.5,2.25
0,31.0,male,3.5,4.333333333333333,3.6666666666666665,2.5,3.0,3.0,3.5,5.0,None,57.0,1,10,1C,1,1,4,None,84.0,2,10,2A,1,1,4,Intervention,35.0,3,10,3E,0,0,4,None,57.0,3,0,4A,1,1,3,None,58.0,2,10,5A,1,1,3,None,126.0,3,20,6B,1,1,3,Suggestion,26.0,2,20,7B,0,0,4,Intervention,26.0,1,20,8B,0,0,4,None,51.0,3,20,9A,1,1,4,None,55.0,3,10,10B,1,1,4,Suggestion,27.0,3,0,11C,0,0,4,None,75.0,1,10,12A,1,1,4,3.25,3.5,3.5,3.5,3.0,2.75
0,37.0,male,4.0,3.0,2.0,1.5,2.0,5.0,3.5,3.0,None,73.0,2,10,1C,1,1,3,None,51.0,3,10,2B,1,1,3,Suggestion,90.0,3,10,3B,1,1,3,None,67.0,2,0,4B,1,1,3,None,75.0,4,10,5B,1,1,3,Suggestion,94.0,4,10,6B,0,1,3,Suggestion,42.0,4,20,7C,1,1,3,None,47.0,3,20,8A,1,1,3,None,42.0,3,10,9E,1,1,3,None,52.0,3,10,10B,1,1,3,Notification,43.0,2,10,11B,1,1,3,None,38.0,3,20,12A,1,1,3,3.0,3.25,3.0,3.25,1.25,3.25
0,49.0,female,3.8333333333333335,3.8333333333333335,3.6666666666666665,2.5,2.5,3.5,3.0,2.5,Suggestion,24.0,2,10,1A,0,0,3,None,22.0,2,0,2C,0,0,3,None,21.0,2,0,3E,0,0,3,None,25.0,2,0,4A,0,1,2,None,22.0,3,10,5C,0,0,2,None,26.0,2,10,6B,1,0,2,Suggestion,23.0,2,10,7A,0,0,3,Intervention,21.0,3,10,8B,0,0,3,None,22.0,3,30,9B,0,0,3,None,22.0,3,10,10C,0,0,4,None,21.0,2,0,11D,0,0,4,None,22.0,1,10,12D,0,0,4,3.0,3.25,3.0,2.75,3.25,4.0
0,46.0,male,4.333333333333333,3.8333333333333335,3.3333333333333335,2.0,2.0,3.0,3.5,3.5,None,33.0,1,10,1C,0,1,4,None,31.0,2,10,2B,0,1,4,Notification,30.0,2,10,3E,0,0,4,None,36.0,2,10,4A,0,1,4,None,23.0,3,10,5A,0,1,4,Intervention,32.0,3,30,6E,0,0,4,None,26.0,3,20,7C,0,1,4,None,23.0,2,20,8B,0,1,4,None,31.0,4,20,9E,0,1,4,None,27.0,3,10,10B,0,1,3,None,23.0,3,10,11A,0,1,3,None,24.0,2,20,12D,0,1,3,3.5,4.0,4.0,4.0,4.0,2.25
0,56.0,male,3.6666666666666665,4.0,2.3333333333333335,1.5,2.5,3.0,4.5,5.0,Intervention,43.0,1,10,1C,0,0,4,None,67.0,3,10,2A,1,0,4,None,58.0,4,10,3E,0,1,4,None,71.0,2,0,4A,0,1,3,None,51.0,5,10,5A,0,1,3,None,112.0,4,20,6B,0,1,3,None,32.0,2,10,7A,0,0,4,None,41.0,4,20,8B,0,1,4,None,67.0,4,40,9B,0,1,4,Notification,40.0,3,10,10B,0,0,4,None,27.0,2,0,11D,0,0,4,None,34.0,4,10,12A,0,1,4,3.75,3.75,4.5,4.0,2.5,1.5
0,54.0,male,4.0,4.0,3.0,4.5,1.0,3.5,3.0,3.0,None,89.0,3,10,1C,0,1,4,Notification,57.0,3,10,2B,0,0,4,None,29.0,3,10,3E,0,1,4,None,23.0,3,10,4A,0,1,4,Suggestion,31.0,3,10,5A,0,0,4,None,39.0,3,30,6E,0,1,4,None,52.0,3,10,7A,0,1,4,Intervention,28.0,3,20,8B,0,0,4,None,22.0,3,40,9B,0,1,4,Intervention,24.0,3,10,10B,0,0,4,None,33.0,3,0,11C,0,1,4,Intervention,23.0,3,20,12D,0,0,4,4.0,3.75,4.25,4.0,3.25,1.0
0,24.0,female,3.6666666666666665,3.1666666666666665,2.0,3.0,3.5,4.5,4.5,4.0,Intervention,22.0,2,10,1A,0,0,3,None,22.0,3,0,2A,0,0,3,Notification,22.0,2,10,3E,0,0,3,None,21.0,5,0,4A,0,0,3,None,21.0,2,0,5D,0,0,3,None,21.0,3,10,6B,0,0,3,None,25.0,3,20,7B,0,0,2,None,22.0,4,10,8B,0,0,2,Notification,25.0,1,20,9D,0,0,2,None,25.0,4,0,10B,0,0,4,None,22.0,2,10,11B,0,0,4,Suggestion,23.0,2,10,12A,0,0,4,4.0,3.0,3.0,3.75,4.0,4.0
0,26.0,male,3.5,3.8333333333333335,3.3333333333333335,3.0,2.0,3.5,3.5,2.5,None,21.0,2,10,1B,0,0,4,Suggestion,23.0,2,10,2C,0,0,4,None,22.0,1,10,3D,0,1,4,Intervention,23.0,2,10,4C,0,0,4,None,26.0,3,10,5C,0,1,4,Notification,56.0,3,20,6D,0,0,4,None,193.0,2,20,7A,0,1,3,None,47.0,1,20,8C,0,1,3,None,77.0,1,40,9D,0,1,3,None,21.0,3,10,10A,0,1,4,None,25.0,2,10,11A,0,1,4,Notification,60.0,3,20,12E,0,0,4,3.5,3.25,4.0,3.75,3.75,3.5
0,34.0,male,3.3333333333333335,3.5,2.6666666666666665,4.0,1.0,1.0,3.5,1.0,None,23.0,2,10,1C,0,0,3,Notification,40.0,3,0,2C,0,0,3,None,22.0,4,10,3D,0,0,3,None,27.0,3,10,4C,0,1,2,Intervention,30.0,2,10,5C,0,0,2,None,32.0,1,30,6D,0,1,2,None,24.0,2,20,7A,0,1,3,None,28.0,2,10,8B,0,1,3,None,23.0,2,40,9D,0,1,3,None,26.0,3,10,10B,0,1,3,None,27.0,3,10,11A,0,1,3,Intervention,30.0,1,20,12E,0,0,3,2.75,3.25,2.5,2.5,2.0,2.5
0,57.0,female,4.166666666666667,5.0,2.6666666666666665,1.5,3.5,1.5,3.5,5.0,None,33.0,2,10,1C,0,1,5,Notification,43.0,3,10,2B,0,0,5,None,26.0,1,10,3E,0,0,5,None,31.0,3,10,4A,0,1,5,None,32.0,3,10,5A,0,1,5,Suggestion,27.0,3,30,6E,0,0,5,None,30.0,3,20,7C,0,1,5,None,36.0,3,20,8B,0,1,5,None,25.0,3,40,9B,0,1,5,None,24.0,3,10,10B,0,1,5,None,32.0,3,10,11A,0,1,5,Intervention,25.0,3,20,12D,0,0,5,5.0,5.0,5.0,5.0,3.5,1.0
0,29.0,female,3.8333333333333335,3.0,2.6666666666666665,4.5,3.0,5.0,3.5,4.0,Notification,29.0,1,10,1C,0,0,3,None,21.0,2,0,2C,0,0,3,None,21.0,3,10,3D,0,0,3,Intervention,26.0,3,10,4C,0,0,4,None,27.0,2,0,5A,0,0,4,Intervention,38.0,4,30,6E,0,0,4,None,31.0,2,0,7C,0,0,4,None,38.0,2,20,8B,1,0,4,None,22.0,3,40,9D,0,1,4,Intervention,24.0,3,20,10B,0,0,4,Intervention,22.0,3,10,11A,0,0,4,None,27.0,4,20,12D,0,1,4,3.75,3.75,4.25,4.25,2.5,2.25
0,34.0,male,3.0,2.8333333333333335,2.6666666666666665,2.5,2.5,3.5,3.0,3.0,Notification,47.0,3,10,1B,0,0,4,None,24.0,2,10,2A,0,0,4,None,31.0,3,10,3E,0,1,4,None,37.0,2,10,4B,0,1,4,Suggestion,46.0,3,0,5A,0,0,4,None,34.0,2,30,6B,0,1,4,Notification,95.0,2,20,7A,0,0,4,Intervention,24.0,3,20,8B,0,0,4,None,26.0,2,40,9B,0,0,4,Suggestion,27.0,4,10,10B,0,0,4,None,33.0,3,10,11A,0,1,4,Notification,31.0,2,10,12A,0,0,4,4.0,4.0,4.0,3.5,3.5,2.5
0,25.0,male,4.166666666666667,3.5,2.0,2.5,3.0,2.0,4.0,5.0,None,60.0,2,10,1C,0,0,4,None,28.0,3,10,2A,0,0,4,Notification,65.0,2,10,3E,0,0,4,Suggestion,47.0,2,10,4B,0,0,4,None,47.0,5,0,5A,0,0,4,None,67.0,2,20,6B,0,0,4,Notification,41.0,2,20,7A,0,0,4,Suggestion,38.0,2,20,8B,0,0,4,None,35.0,2,40,9B,0,1,4,None,51.0,4,10,10A,0,1,3,None,31.0,2,10,11A,0,1,3,Suggestion,22.0,2,10,12A,0,0,3,3.5,3.5,4.25,3.25,3.75,2.5
0,45.0,female,4.166666666666667,3.1666666666666665,2.6666666666666665,2.0,3.0,5.0,3.5,5.0,None,25.0,1,10,1B,0,0,3,Suggestion,34.0,3,10,2A,0,0,3,None,31.0,2,10,3A,0,1,3,None,31.0,2,0,4A,0,1,3,None,46.0,3,10,5C,0,1,3,Intervention,33.0,3,20,6A,0,0,3,None,24.0,4,30,7B,0,1,3,None,28.0,2,10,8B,0,1,3,Notification,35.0,3,10,9C,0,0,3,Intervention,29.0,2,10,10A,0,0,3,Suggestion,24.0,4,10,11A,0,0,3,None,38.0,4,20,12C,0,1,3,2.75,3.0,3.25,3.5,3.0,3.0
0,25.0,male,3.8333333333333335,3.0,3.3333333333333335,2.0,4.0,5.0,1.5,2.0,None,34.0,2,10,1B,0,1,4,Intervention,35.0,2,10,2C,0,0,4,None,33.0,2,10,3A,0,1,4,Notification,40.0,2,10,4C,0,0,4,None,38.0,3,10,5C,0,1,4,None,43.0,2,20,6B,0,1,4,None,22.0,1,20,7A,0,1,4,None,22.0,2,20,8C,0,1,4,None,23.0,2,30,9A,0,1,4,Suggestion,29.0,2,10,10B,0,0,4,None,21.0,2,10,11A,0,1,4,None,36.0,2,10,12D,0,1,4,4.0,4.0,4.0,3.75,4.0,2.0
0,35.0,male,3.0,3.0,3.0,4.5,3.0,3.5,2.5,3.5,Intervention,258.0,3,10,1B,0,0,4,None,22.0,3,10,2A,0,0,4,None,22.0,3,10,3A,0,0,4,Notification,25.0,2,0,4A,0,0,3,Notification,73.0,2,10,5A,0,0,3,None,77.0,2,30,6B,0,1,3,None,21.0,2,20,7B,0,0,3,None,22.0,2,0,8A,0,0,3,None,117.0,2,30,9A,0,1,3,None,65.0,1,10,10C,0,0,3,None,106.0,1,0,11C,0,0,3,None,22.0,1,10,12A,0,0,3,4.0,3.5,3.25,3.5,3.0,3.0
0,55.0,female,4.333333333333333,3.8333333333333335,3.0,3.0,2.0,5.0,4.0,3.5,None,85.0,2,10,1C,0,1,4,Suggestion,51.0,2,10,2B,0,0,4,None,39.0,1,10,3E,0,1,4,None,40.0,2,10,4A,0,1,3,None,112.0,3,10,5A,0,1,3,None,139.0,2,20,6B,0,1,3,Intervention,32.0,3,20,7C,0,0,3,None,51.0,2,20,8B,0,1,3,None,40.0,2,40,9B,0,1,3,None,29.0,2,10,10B,0,1,3,Suggestion,32.0,2,10,11A,0,1,3,None,53.0,3,20,12D,0,1,3,3.0,3.25,3.0,3.25,2.25,1.5
0,29.0,female,3.6666666666666665,4.0,2.6666666666666665,3.0,3.0,2.5,4.5,3.5,Notification,30.0,1,10,1C,0,0,4,None,28.0,4,10,2A,0,0,4,None,26.0,4,10,3E,0,0,4,None,36.0,2,0,4A,0,1,3,None,38.0,3,10,5A,0,1,3,None,79.0,5,30,6E,0,1,3,None,24.0,3,20,7B,0,1,3,Suggestion,25.0,2,10,8D,0,0,3,None,27.0,2,30,9D,0,0,3,None,27.0,5,10,10B,0,1,3,None,21.0,4,0,11C,0,0,3,None,25.0,1,10,12A,0,1,3,3.0,3.5,3.5,4.0,3.5,2.25
0,35.0,male,4.666666666666667,2.3333333333333335,1.0,2.0,4.5,1.5,2.5,4.0,Suggestion,42.0,1,10,1C,0,0,2,None,26.0,1,10,2A,0,0,2,None,27.0,1,10,3E,0,0,2,None,22.0,1,10,4B,0,0,3,Suggestion,34.0,1,10,5B,0,0,3,None,42.0,2,20,6B,0,0,3,Suggestion,23.0,1,20,7B,0,0,3,None,23.0,1,20,8A,0,0,3,Suggestion,41.0,1,20,9C,0,0,3,None,22.0,1,0,10C,0,0,1,None,21.0,1,0,11C,0,0,1,Notification,26.0,1,0,12B,0,0,1,2.25,2.25,2.25,2.25,1.75,3.5
0,23.0,male,4.166666666666667,3.0,3.3333333333333335,2.5,4.5,3.5,2.5,3.5,None,31.0,5,10,1C,0,0,3,Intervention,44.0,4,10,2B,0,0,3,None,40.0,4,10,3E,0,1,3,None,32.0,5,10,4A,0,1,4,None,27.0,4,10,5A,0,1,4,None,72.0,1,10,6D,0,1,4,Suggestion,56.0,4,10,7A,0,0,4,Intervention,21.0,4,20,8B,0,0,4,None,36.0,2,20,9D,0,1,4,None,33.0,2,10,10B,0,1,4,Notification,31.0,1,10,11A,0,0,4,None,31.0,4,10,12A,0,1,4,4.0,4.0,3.75,2.75,3.5,2.0
0,49.0,male,3.6666666666666665,3.6666666666666665,2.0,1.0,2.5,4.0,5.0,5.0,Intervention,33.0,1,10,1C,0,0,3,None,23.0,1,0,2D,0,0,3,None,24.0,3,0,3A,0,0,3,Intervention,24.0,3,10,4A,0,0,3,Suggestion,44.0,1,10,5C,0,0,3,None,43.0,4,10,6B,0,0,3,Suggestion,24.0,3,20,7B,0,0,3,None,24.0,2,10,8B,0,0,3,None,23.0,2,40,9B,0,0,3,None,24.0,3,0,10B,0,0,3,None,26.0,2,10,11A,0,1,3,Notification,32.0,2,10,12B,0,0,3,3.0,3.0,3.5,3.0,4.0,4.0
0,59.0,female,4.0,3.8333333333333335,4.666666666666667,1.0,5.0,5.0,4.0,5.0,None,21.0,1,10,1C,0,0,2,None,21.0,1,10,2A,0,0,2,Suggestion,25.0,1,10,3E,0,1,2,None,36.0,1,0,4A,0,0,2,None,21.0,1,10,5C,0,0,2,None,21.0,2,0,6A,0,0,2,None,21.0,1,30,7B,0,0,3,None,25.0,1,0,8A,0,0,3,Intervention,24.0,2,20,9A,0,0,3,Notification,23.0,1,0,10B,0,0,3,None,21.0,1,10,11A,0,0,3,Notification,22.0,2,0,12B,0,0,3,2.5,2.25,2.25,3.0,2.0,4.5
0,22.0,male,4.333333333333333,3.8333333333333335,4.0,3.0,4.0,3.5,3.0,4.0,None,21.0,1,10,1C,0,0,5,Suggestion,26.0,1,10,2B,0,0,5,None,21.0,1,10,3E,0,0,5,Suggestion,23.0,1,0,4B,0,0,5,None,53.0,1,10,5B,0,0,5,None,23.0,2,20,6B,0,0,5,Intervention,28.0,1,20,7C,0,0,4,Suggestion,24.0,1,10,8B,0,0,4,None,21.0,1,40,9B,0,0,4,None,21.0,1,10,10B,0,0,4,None,22.0,1,0,11D,0,0,4,None,23.0,1,20,12A,0,0,4,3.75,4.25,3.75,4.25,4.25,3.75
0,24.0,male,4.333333333333333,3.5,3.6666666666666665,2.0,4.5,1.5,3.0,4.5,None,24.0,2,10,1B,0,0,4,Notification,41.0,2,10,2C,0,0,4,None,28.0,3,0,3C,0,0,4,None,30.0,2,0,4A,0,0,5,Intervention,24.0,1,10,5A,0,0,5,None,25.0,2,20,6B,0,0,5,None,46.0,1,20,7A,0,1,4,Notification,44.0,2,20,8B,0,0,4,None,40.0,1,30,9B,0,1,4,None,37.0,1,10,10B,0,1,3,Suggestion,25.0,4,10,11C,0,0,3,None,34.0,4,0,12B,0,1,3,3.25,3.5,3.5,4.0,3.75,3.0
0,34.0,female,4.333333333333333,4.0,3.6666666666666665,3.0,3.0,2.5,4.5,3.5,Notification,49.0,3,10,1B,0,0,4,None,53.0,2,10,2A,0,1,4,None,35.0,3,10,3E,0,1,4,None,31.0,2,10,4B,0,1,4,Intervention,33.0,2,10,5B,0,0,4,None,44.0,4,30,6B,0,1,4,None,34.0,2,10,7A,0,1,4,Intervention,31.0,3,20,8A,0,0,4,None,30.0,3,40,9A,0,1,4,None,22.0,2,10,10B,0,0,4,Notification,32.0,2,10,11A,0,0,4,None,26.0,4,20,12A,0,1,4,4.0,4.0,3.75,4.0,3.0,2.5
0,46.0,female,4.0,4.0,2.3333333333333335,4.5,3.0,4.5,3.5,4.5,None,52.0,2,10,1C,0,0,4,None,34.0,2,0,2D,0,0,4,Suggestion,38.0,2,10,3C,0,0,4,None,40.0,2,10,4A,0,0,2,None,64.0,2,10,5A,0,1,2,Suggestion,201.0,3,0,6C,0,0,2,None,39.0,3,10,7A,0,0,2,None,42.0,3,0,8A,0,0,2,Intervention,51.0,2,20,9B,0,0,2,Suggestion,40.0,4,10,10B,0,0,1,None,57.0,2,0,11B,0,1,1,None,30.0,4,10,12A,0,0,1,2.75,2.0,2.75,3.0,2.25,4.0
0,28.0,female,4.166666666666667,4.0,1.6666666666666667,2.5,3.0,2.5,4.5,3.5,Notification,62.0,2,10,1C,0,0,3,None,102.0,2,0,2C,1,1,3,None,100.0,2,10,3D,0,1,3,Intervention,31.0,2,10,4C,0,0,2,None,83.0,4,10,5D,0,1,2,Intervention,43.0,3,20,6D,0,0,2,Intervention,33.0,2,20,7A,0,0,3,Intervention,33.0,4,10,8A,0,0,3,None,65.0,5,0,9B,0,1,3,None,33.0,2,10,10B,0,1,3,Notification,31.0,2,10,11A,0,0,3,None,36.0,2,10,12D,0,1,3,2.5,2.5,3.0,2.75,2.0,2.75
0,43.0,male,4.0,4.0,4.0,2.5,2.0,3.5,4.0,4.5,None,54.0,2,10,1C,0,1,4,None,99.0,3,10,2B,0,1,4,Notification,74.0,3,10,3E,0,1,4,Suggestion,42.0,2,10,4A,0,0,4,Intervention,72.0,2,10,5A,0,0,4,None,143.0,3,20,6B,0,1,4,None,40.0,3,20,7C,0,1,4,None,46.0,2,20,8B,0,1,4,Notification,35.0,2,40,9B,0,0,4,Notification,39.0,2,10,10B,0,0,4,None,34.0,2,10,11A,0,1,4,Intervention,34.0,2,20,12D,0,0,4,4.0,4.0,4.0,4.0,3.0,2.0
0,33.0,male,4.333333333333333,3.8333333333333335,3.6666666666666665,1.5,4.5,3.0,2.5,5.0,Suggestion,41.0,2,10,1C,0,0,3,None,23.0,2,0,2C,0,0,3,None,37.0,3,10,3D,0,1,3,None,28.0,4,10,4C,0,1,3,Suggestion,23.0,4,10,5C,0,0,3,None,51.0,4,30,6D,0,1,3,None,26.0,4,20,7A,0,1,2,Intervention,22.0,4,20,8C,0,0,2,None,72.0,4,40,9D,0,1,2,None,36.0,1,10,10B,0,1,5,None,22.0,1,10,11A,0,1,5,Notification,36.0,1,20,12E,0,0,5,4.5,4.75,5.0,4.25,3.25,3.5
0,43.0,female,4.166666666666667,2.5,2.0,2.0,4.0,4.5,3.0,5.0,Intervention,25.0,1,10,1C,0,0,4,None,27.0,3,10,2B,0,0,4,None,31.0,3,10,3E,0,1,4,Notification,26.0,3,10,4A,0,0,3,None,21.0,3,0,5D,0,0,3,Notification,24.0,3,20,6E,0,0,3,None,22.0,3,0,7A,0,0,3,None,22.0,3,10,8B,0,0,3,None,21.0,3,20,9D,0,0,3,None,22.0,3,20,10C,0,1,3,None,25.0,3,0,11D,0,1,3,None,27.0,3,10,12B,0,1,3,3.5,3.0,3.0,3.25,3.0,3.5
0,47.0,female,3.6666666666666665,4.0,1.3333333333333333,4.5,1.5,3.5,2.5,3.0,None,70.0,2,10,1C,1,1,3,Suggestion,59.0,2,10,2A,1,1,3,None,49.0,2,0,3D,1,1,3,None,33.0,2,0,4A,1,1,3,None,186.0,2,10,5A,1,1,3,None,111.0,3,10,6B,1,1,3,Suggestion,41.0,2,10,7A,1,1,4,None,30.0,2,20,8B,1,1,4,None,30.0,2,40,9B,1,1,4,None,36.0,2,10,10B,1,1,4,None,32.0,2,10,11C,1,1,4,Notification,43.0,2,10,12D,1,1,4,4.5,3.5,3.0,3.25,1.5,1.25
0,52.0,female,3.5,1.0,4.0,3.0,2.0,5.0,2.5,4.0,None,29.0,3,10,1B,0,0,3,None,23.0,3,10,2C,0,0,3,Intervention,31.0,3,10,3D,0,0,3,Suggestion,29.0,3,0,4B,0,0,3,Notification,30.0,3,10,5B,0,0,3,None,76.0,3,20,6B,0,0,3,None,37.0,3,20,7A,0,1,3,None,47.0,3,0,8C,0,0,3,None,29.0,3,30,9A,0,1,3,None,39.0,3,10,10B,0,0,3,Suggestion,24.0,3,10,11A,0,0,3,None,28.0,3,10,12D,0,0,3,3.0,3.0,2.5,3.0,3.0,3.25
0,57.0,male,3.8333333333333335,2.5,3.0,3.5,4.5,5.0,3.0,4.5,None,66.0,2,10,1C,0,0,4,None,37.0,3,0,2C,0,0,4,Intervention,35.0,1,10,3D,0,0,4,None,23.0,2,0,4A,0,0,4,None,43.0,4,10,5A,0,1,4,None,48.0,5,30,6E,0,1,4,None,26.0,3,20,7A,0,0,3,None,47.0,4,10,8D,0,0,3,None,25.0,4,20,9A,0,0,3,None,31.0,4,10,10B,0,1,4,None,32.0,5,10,11A,0,1,4,Notification,40.0,5,20,12D,0,0,4,4.25,3.75,3.5,3.75,2.75,1.25
0,34.0,male,4.333333333333333,4.833333333333333,1.0,1.0,2.0,2.5,4.5,3.0,None,45.0,1,10,1C,0,1,3,Suggestion,63.0,3,10,2A,0,0,3,None,38.0,2,10,3E,0,1,3,Suggestion,75.0,4,10,4B,0,0,3,Intervention,37.0,3,10,5B,0,0,3,None,47.0,2,20,6B,0,1,3,None,51.0,5,10,7C,0,1,3,Suggestion,22.0,2,20,8A,0,0,3,None,53.0,4,30,9B,0,1,3,None,26.0,3,10,10A,0,1,4,Intervention,22.0,3,10,11A,0,0,4,None,35.0,3,20,12A,0,1,4,3.25,4.0,4.5,4.25,3.75,1.75
0,35.0,male,4.5,3.0,3.6666666666666665,2.0,2.0,2.0,3.5,3.5,Suggestion,45.0,1,10,1C,0,0,3,None,31.0,2,10,2B,0,1,3,None,33.0,2,10,3E,0,1,3,None,27.0,1,10,4A,0,1,4,Notification,40.0,2,10,5A,0,0,4,None,36.0,3,20,6B,0,0,4,Suggestion,35.0,3,10,7B,0,0,4,None,26.0,4,0,8A,0,1,4,None,22.0,1,20,9E,0,0,4,None,22.0,3,10,10B,0,0,4,None,21.0,2,10,11B,0,0,4,Intervention,22.0,2,20,12D,0,0,4,3.75,3.5,4.25,3.75,4.0,3.5
0,50.0,male,4.666666666666667,3.6666666666666665,2.0,2.0,3.0,5.0,3.5,5.0,Intervention,34.0,3,10,1C,0,0,3,None,22.0,2,0,2C,0,0,3,None,22.0,1,10,3A,0,0,3,None,44.0,4,10,4C,0,1,4,None,26.0,4,10,5C,0,1,4,Suggestion,40.0,1,30,6E,0,0,4,None,35.0,2,20,7A,0,1,4,None,39.0,4,20,8C,0,1,4,None,30.0,5,40,9D,0,1,4,Notification,50.0,4,0,10C,0,0,2,Suggestion,26.0,5,10,11A,0,0,2,None,42.0,4,0,12A,0,1,2,2.25,2.5,2.75,3.0,2.5,2.75
0,48.0,female,3.6666666666666665,3.1666666666666665,1.0,4.5,3.0,4.5,5.0,4.0,Suggestion,24.0,2,10,1C,0,0,4,None,23.0,3,10,2B,0,0,4,None,27.0,4,0,3D,0,0,4,None,28.0,3,10,4A,0,1,4,Suggestion,22.0,4,10,5A,0,0,4,None,34.0,5,30,6E,0,1,4,None,28.0,4,10,7A,0,0,4,None,25.0,2,20,8B,0,1,4,Notification,32.0,4,40,9B,0,0,4,None,27.0,4,10,10B,0,1,4,None,24.0,4,10,11A,0,0,4,Intervention,23.0,4,20,12D,0,0,4,4.0,4.0,4.0,4.0,2.75,2.0
0,33.0,female,3.8333333333333335,3.5,3.3333333333333335,3.0,4.5,5.0,3.0,3.5,None,26.0,2,10,1C,0,1,5,Suggestion,39.0,3,10,2B,0,0,5,None,38.0,3,10,3E,0,1,5,None,31.0,2,10,4A,0,1,4,None,43.0,2,10,5A,0,1,4,Notification,61.0,3,30,6E,0,1,4,None,66.0,2,20,7C,0,1,3,Intervention,30.0,4,20,8B,0,0,3,None,26.0,3,40,9B,0,1,3,None,23.0,3,10,10B,0,1,4,None,25.0,3,10,11A,0,1,4,Intervention,22.0,2,20,12D,0,0,4,4.0,3.75,3.75,4.0,3.25,2.25
0,20.0,male,4.666666666666667,4.5,2.3333333333333335,5.0,2.0,4.0,4.0,3.0,None,34.0,2,10,1B,0,1,5,Suggestion,32.0,4,10,2A,0,0,5,None,34.0,3,10,3E,0,0,5,Suggestion,34.0,3,10,4B,0,0,4,None,31.0,4,10,5B,0,0,4,None,52.0,2,30,6B,0,0,4,None,22.0,5,10,7A,0,0,3,None,23.0,3,10,8D,0,0,3,Notification,33.0,2,30,9B,0,0,3,None,29.0,2,10,10B,1,1,4,None,21.0,4,0,11D,0,0,4,Intervention,22.0,1,20,12A,0,0,4,3.75,4.25,4.0,3.0,3.5,3.5
0,24.0,female,3.3333333333333335,3.3333333333333335,3.0,4.0,2.0,3.0,2.0,4.5,None,25.0,3,10,1C,0,0,4,Suggestion,26.0,4,10,2B,0,0,4,None,33.0,2,10,3E,0,0,4,None,29.0,2,10,4A,0,1,4,Intervention,25.0,3,10,5A,0,0,4,None,45.0,2,20,6B,0,1,4,Notification,32.0,2,20,7C,0,0,4,Notification,55.0,3,0,8A,0,1,4,None,30.0,3,30,9B,0,1,4,None,28.0,2,10,10B,0,1,4,Intervention,30.0,2,10,11A,0,0,4,None,33.0,3,20,12D,0,1,4,3.75,3.75,4.0,4.0,3.5,3.25
